Player,testid,Date,TestName,MetricName,MetricValue
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Jump Height(m),0.4718
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Braking RFD(N/s),6011.4286
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Peak Braking Force(N),1820
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Relative Propulsive Net Impulse(N.s/kg),3.0685
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Avg. Landing Force(N),964.9358
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Peak Velocity(m/s),3.1537
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Unweighting Phase %,42.1875
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Peak Relative Propulsive Power(W/kg),69.5422
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Propulsive Net Impulse(N.s),240.4233
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Peak Braking Power(W),-1275.1706
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,L|R Avg. Landing Force(%),4.1439
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Left Force at Peak Braking Force(N),841
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Relative Force at Min Displacement(%),237.0411
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Peak Landing Force(N),8242
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Braking Phase %,24.858
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Avg. Relative Braking Force(%),171.6554
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Peak Relative Propulsive Force(%),279.4535
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,L|R Peak Landing Force(%),20.2863
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,L|R Peak Propulsive Force(%),1.3035
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Avg. Propulsive Velocity(m/s),1.7447
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,L|R Braking Impulse Index(%),-26.6968
Player1,2kaO2Ct9TlIfI5GRtnTm,2022-06-16 14:05,Countermovement Jump,Impulse Ratio,2.5082
